Timestamp,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition
01-03-2024 00:00,40.842275292891834,-73.70314869,205,49.89343479610332,82.65277992850861,Yellow,Clear,0,-0.60919909,2,45,450.7600550695179,19.57433652960039,High
01-03-2024 00:05,40.8311194,-73.98735409,202,22.383964870087855,45.82929780270145,Green,Clear,0,0.96544237,16,1,321.8003405168867,5.385553512193732,High
01-03-2024 00:10,40.81954876392327,-73.73246186,252,46.889699439334876,82.77246480269831,Green,Rain,0,0.2896603158283986,16,49,231.1526548042294,10.277477486419944,High
01-03-2024 00:15,40.72584887921568,-73.98013411,37,5.730536423,37.69556743980888,Red,Fog,0,-0.271964738,66,10,410.3842921098877,29.243279449960266,High
01-03-2024 00:20,40.81326467769622,-73.96163054,64,61.34803435570192,22.31335794983795,Red,Snow,0,-0.797605617,3,5,364.46634168756805,16.801458761149803,Low
01-03-2024 00:25,40.64111174659454,-73.82509534,125,9.150745620777421,72.79990343468822,Green,Clear,0,-0.594636326,78,27,349.0453075341282,29.805841938330232,High
01-03-2024 00:30,40.797138602855775,-73.79744494,125,9.162774286317184,34.182018012741636,Green,Snow,0,0.5442838486792319,21,42,363.7459309898909,18.890578675520043,High
01-03-2024 00:35,40.81236201552322,-73.80175125,130,40.993622396031405,40.427932319372374,Yellow,Clear,0,0.7440578886965032,92,22,82.19081477288391,12.117573134703528,Medium
01-03-2024 00:40,40.717006277985334,-73.78956237,67,73.90533684403202,80.60737469182321,Green,Clear,0,-0.439931005,27,4,477.23241995534653,17.22367898264705,High
01-03-2024 00:45,40.87236437726417,-73.74021,12,65.53559165495976,47.11495674614308,Green,Fog,0,0.5666006957850183,28,8,56.865403561767266,13.04474290683431,Low
01-03-2024 00:50,40.72249548994771,-73.83021193,117,60.481377184050814,56.001738449270526,Green,Fog,0,0.6664657071865467,77,39,295.9050841290863,18.446978633014034,Medium
